company,ats,token,notes
SAS Institute,workday,sas|wd1|External,Cary NC HQ - analytics/AI leader with big Triangle intern program
Lenovo,workday,lenovo|wd3|LenovoCareers,Morrisville NC HQ (Americas)
MetLife,workday,metlife|wd5|MetLifeCareers,Global Tech Campus in Cary NC
Fidelity Investments,workday,fmr|wd1|FidelityCareers,Durham/RTP regional hub
Truist,workday,truist|wd1|Careers,Large NC financial employer
First Citizens Bank,workday,fcb|wd1|FCB,Raleigh NC HQ
Labcorp,workday,labcorp|wd1|External,Burlington/Durham NC
IQVIA,workday,iqvia|wd1|IQVIA,Durham NC HQ - health data & AI
Blue Cross NC,workday,bcbsnc|wd1|External,Durham NC HQ
Advance Auto Parts,workday,advanceauto|wd1|External,Raleigh NC HQ
Bandwidth,greenhouse,bandwidth,Raleigh NC HQ
Red Hat,workday,redhat|wd5|Jobs,Raleigh NC HQ
Cisco,workday,cisco|wd5|External,Major RTP campus
Wolfspeed,workday,wolfspeed|wd1|External,Durham NC HQ
RTI International,workday,rti|wd1|External,RTP nonprofit research institute
Syneos Health,workday,syneoshealth|wd1|External,Morrisville NC
Pendo,greenhouse,pendo,Raleigh NC software co with business intern roles
Relay,greenhouse,relaypro,Raleigh NC
Insightsoftware,greenhouse,insightsoftware,Raleigh NC
Deutsche Bank,workday,db|wd3|DBWebsite,Cary NC tech center
UBS,workday,ubs|wd5|UBS,Formerly Credit Suisse RTP hub
Allstate,workday,allstate|wd5|allstate_careers,Large hybrid intern employer
Cree Lighting,workday,creelighting|wd1|External,Durham NC
Duke University & Health,workday,duke|wd1|Careers,Durham NC
NC State University,workday,ncsu|wd1|Careers,Raleigh NC
Epic Games,greenhouse,epicgames,Cary NC HQ
JELD-WEN,workday,jeldwen|wd5|External,Charlotte/NC corporate
Martin Marietta,workday,martinmarietta|wd1|External,Raleigh NC HQ
Salesforce,workday,salesforce|wd12|External_Career_Site,Remote-friendly AI roles (Agentforce)
ServiceNow,smartrecruiters,ServiceNow,AI platform - many non-eng intern roles
Adobe,workday,adobe|wd5|external_experienced,AI marketing/product interns
HubSpot,greenhouse,hubspot,Remote US friendly
Scale AI,greenhouse,scaleai,AI ops/GTM intern roles
OpenAI,greenhouse,openai,Policy/comms/ops roles
Anthropic,greenhouse,anthropic,Policy/ops roles
Cohere,ashby,cohere,AI company non-eng roles
Perplexity,ashby,perplexity-ai,AI company GTM roles
Hugging Face,workable,huggingface,AI community roles
Deloitte,workday,deloitte|wd1|External,AI & Data consulting internships
EY,workday,ey|wd3|EYGlobalCareers,AI consulting internships
KPMG,workday,kpmg|wd1|External,Digital/AI advisory internships
PwC,workday,pwc|wd3|Global_Experienced_Careers,AI assurance/advisory internships
Accenture,workday,accenture|wd3|AccentureCareers,AI strategy internships
IBM,workday,ibm|wd5|Search,AI consulting + RTP campus
CVS Health,workday,cvshealth|wd1|CVS_Health_Careers,Remote corporate internships
UnitedHealth Group,workday,uhg|wd1|UHG,Remote corporate internships
Walmart,workday,walmart|wd5|WalmartExternal,Global Tech AI programs
Procter & Gamble,workday,pg|wd1|1000,Brand/AI innovation internships
PepsiCo,workday,pepsico|wd1|PepsiCoCareers,Commercial AI internships
Marriott,workday,marriott|wd1|External,Digital/AI internships
Lowe's,workday,lowes|wd1|LWS_External,NC-based retail tech
Genpact,workday,genpact|wd1|External,AI operations internships
Moderna,greenhouse,modernatx,AI-first pharma - business AI roles
Duolingo,greenhouse,duolingo,AI product/marketing interns
Notion,ashby,notion,AI product marketing roles
Ramp,ashby,ramp,AI ops roles
Zapier,greenhouse,zapier,Remote-first AI automation
Jasper,ashby,jasper-ai,AI marketing company
Writer,ashby,writer,Enterprise AI - GTM roles
Glean,greenhouse,gleanwork,Enterprise AI - business roles
